sample_number,date_time,temperature_water,sub_pressure,level_m
1,2/12/2018 12:00,15.855,164.4,2.19181368
2,2/12/2018 12:15,15.855,164.46,2.192613612
3,2/12/2018 12:30,15.855,164.09,2.187680698
4,2/12/2018 12:45,15.855,164.28,2.190213816
5,2/12/2018 13:00,15.855,164.73,2.196213306
6,2/12/2018 13:15,15.855,164.18,2.188880596
7,2/12/2018 13:30,15.855,163.99,2.186347478
8,2/12/2018 13:45,15.855,163.85,2.18448097
9,2/12/2018 14:00,15.76,164.06,2.187280732
10,2/12/2018 14:15,15.76,164.02,2.186747444
11,2/12/2018 14:30,15.855,164.18,2.188880596
12,2/12/2018 14:45,15.855,164.28,2.190213816
13,2/12/2018 15:00,15.855,163.94,2.185680868
14,2/12/2018 15:15,15.855,163.9,2.18514758
15,2/12/2018 15:30,15.76,163.93,2.185547546
16,2/12/2018 15:45,15.855,163.88,2.184880936
17,2/12/2018 16:00,15.855,163.77,2.183414394
18,2/12/2018 16:15,15.855,163.96,2.185947512
19,2/12/2018 16:30,15.855,163.94,2.185680868
20,2/12/2018 16:45,15.855,163.87,2.184747614
21,2/12/2018 17:00,15.76,163.89,2.185014258
22,2/12/2018 17:15,15.76,163.86,2.184614292
23,2/12/2018 17:30,15.76,164.14,2.188347308
24,2/12/2018 17:45,15.76,163.99,2.186347478
25,2/12/2018 18:00,15.855,164.39,2.191680358
26,2/12/2018 18:15,15.855,164.45,2.19248029
27,2/12/2018 18:30,15.855,164.15,2.18848063
28,2/12/2018 18:45,15.855,164.34,2.191013748
29,2/12/2018 19:00,15.76,164.43,2.192213646
30,2/12/2018 19:15,15.76,164.48,2.192880256
31,2/12/2018 19:30,15.855,164.58,2.194213476
32,2/12/2018 19:45,15.855,164.59,2.194346798
33,2/12/2018 20:00,15.855,164.47,2.192746934
34,2/12/2018 20:15,15.855,164.67,2.195413374
35,2/12/2018 20:30,15.951,164.54,2.193680188
36,2/12/2018 20:45,15.855,164.51,2.193280222
37,2/12/2018 21:00,15.855,164.45,2.19248029
38,2/12/2018 21:15,15.855,164.57,2.194080154
39,2/12/2018 21:30,15.855,164.57,2.194080154
40,2/12/2018 21:45,15.855,164.53,2.193546866
41,2/12/2018 22:00,15.855,164.66,2.195280052
42,2/12/2018 22:15,15.855,164.6,2.19448012
43,2/12/2018 22:30,15.855,164.8,2.19714656
44,2/12/2018 22:45,15.855,164.63,2.194880086
45,2/12/2018 23:00,15.855,164.7,2.19581334
46,2/12/2018 23:15,15.855,164.64,2.195013408
47,2/12/2018 23:30,15.855,164.65,2.19514673
48,2/12/2018 23:45,15.855,164.82,2.197413204
49,2/13/2018 0:00,15.855,164.76,2.196613272
50,2/13/2018 0:15,15.855,164.53,2.193546866
51,2/13/2018 0:30,15.855,164.7,2.19581334
52,2/13/2018 0:45,15.855,164.71,2.195946662
53,2/13/2018 1:00,15.855,164.58,2.194213476
54,2/13/2018 1:15,15.855,164.65,2.19514673
55,2/13/2018 1:30,15.855,164.53,2.193546866
56,2/13/2018 1:45,15.855,164.42,2.192080324
57,2/13/2018 2:00,15.855,164.67,2.195413374
58,2/13/2018 2:15,15.855,164.55,2.19381351
59,2/13/2018 2:30,15.855,164.51,2.193280222
60,2/13/2018 2:45,15.855,164.51,2.193280222
61,2/13/2018 3:00,15.855,164.52,2.193413544
62,2/13/2018 3:15,15.855,164.52,2.193413544
63,2/13/2018 3:30,15.855,164.58,2.194213476
64,2/13/2018 3:45,15.855,164.65,2.19514673
65,2/13/2018 4:00,15.855,164.53,2.193546866
66,2/13/2018 4:15,15.855,164.65,2.19514673
67,2/13/2018 4:30,15.855,164.6,2.19448012
68,2/13/2018 4:45,15.855,164.66,2.195280052
69,2/13/2018 5:00,15.855,164.65,2.19514673
70,2/13/2018 5:15,15.855,164.6,2.19448012
71,2/13/2018 5:30,15.855,164.48,2.192880256
72,2/13/2018 5:45,15.951,164.64,2.195013408
73,2/13/2018 6:00,15.951,164.3,2.19048046
74,2/13/2018 6:15,15.951,164.42,2.192080324
75,2/13/2018 6:30,15.951,164.6,2.19448012
76,2/13/2018 6:45,15.951,164.5,2.1931469
77,2/13/2018 7:00,15.855,164.6,2.19448012
78,2/13/2018 7:15,15.855,164.54,2.193680188
79,2/13/2018 7:30,15.855,164.43,2.192213646
80,2/13/2018 7:45,15.855,164.68,2.195546696
81,2/13/2018 8:00,15.951,164.59,2.194346798
82,2/13/2018 8:15,15.951,164.41,2.191947002
83,2/13/2018 8:30,15.951,164.4,2.19181368
84,2/13/2018 8:45,15.855,164.57,2.194080154
85,2/13/2018 9:00,15.855,164.33,2.190880426
86,2/13/2018 9:15,15.855,164.35,2.19114707
87,2/13/2018 9:30,15.855,164.26,2.189947172
88,2/13/2018 9:45,15.855,164.45,2.19248029
89,2/13/2018 10:00,15.951,164.26,2.189947172
90,2/13/2018 10:15,15.951,164.19,2.189013918
91,2/13/2018 10:30,15.951,164.27,2.190080494
92,2/13/2018 10:45,15.951,164.28,2.190213816
93,2/13/2018 11:00,15.951,164.15,2.18848063
94,2/13/2018 11:15,15.951,164.05,2.18714741
95,2/13/2018 11:30,15.951,164.18,2.188880596
96,2/13/2018 11:45,15.855,164.09,2.187680698
97,2/13/2018 12:00,15.951,164.2,2.18914724
98,2/13/2018 12:15,15.951,164.09,2.187680698
99,2/13/2018 12:30,15.951,164.14,2.188347308
100,2/13/2018 12:45,15.951,164.31,2.190613782
101,2/13/2018 13:00,15.951,164.33,2.190880426
102,2/13/2018 13:15,15.951,164.19,2.189013918
103,2/13/2018 13:30,15.951,164.04,2.187014088
104,2/13/2018 13:45,15.951,164.01,2.186614122
105,2/13/2018 14:00,15.951,164.17,2.188747274
106,2/13/2018 14:15,15.855,164.1,2.18781402
107,2/13/2018 14:30,15.855,164.13,2.188213986
108,2/13/2018 14:45,15.951,164.18,2.188880596
109,2/13/2018 15:00,15.951,164.23,2.189547206
110,2/13/2018 15:15,15.951,164.3,2.19048046
111,2/13/2018 15:30,15.951,164.36,2.191280392
112,2/13/2018 15:45,15.951,164.24,2.189680528
113,2/13/2018 16:00,15.951,164.3,2.19048046
114,2/13/2018 16:15,15.951,164.24,2.189680528
115,2/13/2018 16:30,15.951,164.24,2.189680528
