sample_number,date_time,temperature_water,sub_pressure,level_m
119,1/13/2018 18:30,14.134,164.65,2.19514673
120,1/13/2018 18:45,14.134,164.59,2.194346798
121,1/13/2018 19:00,14.038,164.74,2.196346628
122,1/13/2018 19:15,14.038,164.81,2.197279882
123,1/13/2018 19:30,14.038,164.62,2.194746764
124,1/13/2018 19:45,14.038,164.73,2.196213306
125,1/13/2018 20:00,14.038,164.78,2.196879916
126,1/13/2018 20:15,14.038,164.78,2.196879916
127,1/13/2018 20:30,14.038,164.71,2.195946662
128,1/13/2018 20:45,14.038,164.88,2.198213136
129,1/13/2018 21:00,14.038,164.7,2.19581334
130,1/13/2018 21:15,14.038,164.88,2.198213136
131,1/13/2018 21:30,14.134,164.91,2.198613102
132,1/13/2018 21:45,14.134,164.84,2.197679848
133,1/13/2018 22:00,14.134,164.84,2.197679848
134,1/13/2018 22:15,14.038,164.98,2.199546356
135,1/13/2018 22:30,14.038,164.86,2.197946492
136,1/13/2018 22:45,14.038,164.79,2.197013238
137,1/13/2018 23:00,14.038,164.97,2.199413034
138,1/13/2018 23:15,14.038,164.97,2.199413034
139,1/13/2018 23:30,14.038,164.91,2.198613102
140,1/13/2018 23:45,14.038,165.03,2.200212966
141,1/14/2018 0:00,14.038,164.91,2.198613102
142,1/14/2018 0:15,14.134,165.01,2.199946322
143,1/14/2018 0:30,14.134,165.11,2.201279542
144,1/14/2018 0:45,14.134,164.92,2.198746424
145,1/14/2018 1:00,14.134,164.92,2.198746424
146,1/14/2018 1:15,14.038,165.06,2.200612932
147,1/14/2018 1:30,14.038,165.01,2.199946322
148,1/14/2018 1:45,14.134,164.99,2.199679678
149,1/14/2018 2:00,14.134,165.05,2.20047961
150,1/14/2018 2:15,14.134,164.93,2.198879746
151,1/14/2018 2:30,14.134,165.13,2.201546186
152,1/14/2018 2:45,14.134,165,2.199813
153,1/14/2018 3:00,14.134,164.94,2.199013068
154,1/14/2018 3:15,14.134,165.06,2.200612932
155,1/14/2018 3:30,14.134,165.18,2.202212796
156,1/14/2018 3:45,14.038,164.96,2.199279712
157,1/14/2018 4:00,14.038,164.96,2.199279712
158,1/14/2018 4:15,14.038,164.96,2.199279712
159,1/14/2018 4:30,14.038,165.13,2.201546186
160,1/14/2018 4:45,14.134,165.1,2.20114622
161,1/14/2018 5:00,14.134,164.87,2.198079814
162,1/14/2018 5:15,14.134,165.16,2.201946152
163,1/14/2018 5:30,14.038,165.07,2.200746254
164,1/14/2018 5:45,14.134,165.05,2.20047961
165,1/14/2018 6:00,14.134,165.16,2.201946152
166,1/14/2018 6:15,14.134,165.12,2.201412864
167,1/14/2018 6:30,14.134,164.94,2.199013068
168,1/14/2018 6:45,14.134,164.94,2.199013068
169,1/14/2018 7:00,14.038,164.96,2.199279712
170,1/14/2018 7:15,14.038,164.96,2.199279712
171,1/14/2018 7:30,14.134,165.07,2.200746254
172,1/14/2018 7:45,14.038,164.97,2.199413034
173,1/14/2018 8:00,14.134,165.01,2.199946322
174,1/14/2018 8:15,14.134,164.94,2.199013068
175,1/14/2018 8:30,14.038,164.74,2.196346628
176,1/14/2018 8:45,14.134,164.78,2.196879916
177,1/14/2018 9:00,14.134,164.8,2.19714656
178,1/14/2018 9:15,14.134,164.77,2.196746594
179,1/14/2018 9:30,14.134,164.51,2.193280222
180,1/14/2018 9:45,14.134,164.63,2.194880086
181,1/14/2018 10:00,14.134,164.42,2.192080324
182,1/14/2018 10:15,14.134,164.52,2.193413544
183,1/14/2018 10:30,14.134,164.33,2.190880426
184,1/14/2018 10:45,14.134,164.27,2.190080494
185,1/14/2018 11:00,14.134,164.22,2.189413884
186,1/14/2018 11:15,14.134,164.18,2.188880596
187,1/14/2018 11:30,14.134,164.11,2.187947342
188,1/14/2018 11:45,14.134,163.98,2.186214156
189,1/14/2018 12:00,14.134,164.11,2.187947342
190,1/14/2018 12:15,14.134,164.17,2.188747274
191,1/14/2018 12:30,14.134,163.99,2.186347478
192,1/14/2018 12:45,14.134,163.99,2.186347478
193,1/14/2018 13:00,14.134,163.69,2.182347818
194,1/14/2018 13:15,14.134,163.83,2.184214326
195,1/14/2018 13:30,14.134,163.49,2.179681378
196,1/14/2018 13:45,14.134,163.29,2.177014938
197,1/14/2018 14:00,14.23,163.38,2.178214836
198,1/14/2018 14:15,14.23,163.26,2.176614972
199,1/14/2018 14:30,14.134,163.53,2.180214666
200,1/14/2018 14:45,14.038,163.65,2.18181453
201,1/14/2018 15:00,14.038,164.01,2.186614122
202,1/14/2018 15:15,14.134,163.9,2.18514758
203,1/14/2018 15:30,14.23,164.27,2.190080494
204,1/14/2018 15:45,14.134,164.01,2.186614122
205,1/14/2018 16:00,14.134,163.96,2.185947512
206,1/14/2018 16:15,14.134,164.26,2.189947172
207,1/14/2018 16:30,14.134,164.32,2.190747104
208,1/14/2018 16:45,14.134,164.44,2.192346968
209,1/14/2018 17:00,14.23,164.42,2.192080324
210,1/14/2018 17:15,14.134,164.52,2.193413544
211,1/14/2018 17:30,14.134,164.73,2.196213306
212,1/14/2018 17:45,14.038,164.84,2.197679848
213,1/14/2018 18:00,14.134,164.8,2.19714656
214,1/14/2018 18:15,14.134,164.79,2.197013238
215,1/14/2018 18:30,14.23,164.89,2.198346458
216,1/14/2018 18:45,14.23,164.76,2.196613272
217,1/14/2018 19:00,14.23,164.71,2.195946662
218,1/14/2018 19:15,14.23,164.83,2.197546526
219,1/14/2018 19:30,14.134,164.85,2.19781317
220,1/14/2018 19:45,14.134,164.79,2.197013238
221,1/14/2018 20:00,14.134,164.92,2.198746424
222,1/14/2018 20:15,14.134,164.79,2.197013238
223,1/14/2018 20:30,14.134,164.73,2.196213306
224,1/14/2018 20:45,14.134,164.88,2.198213136
225,1/14/2018 21:00,14.134,164.82,2.197413204
226,1/14/2018 21:15,14.134,164.95,2.19914639
227,1/14/2018 21:30,14.134,164.88,2.198213136
228,1/14/2018 21:45,14.23,164.87,2.198079814
229,1/14/2018 22:00,14.134,164.89,2.198346458
230,1/14/2018 22:15,14.134,164.76,2.196613272
231,1/14/2018 22:30,14.134,164.76,2.196613272
232,1/14/2018 22:45,14.134,164.93,2.198879746
233,1/14/2018 23:00,14.134,164.75,2.19647995
234,1/14/2018 23:15,14.134,164.75,2.19647995
235,1/14/2018 23:30,14.134,164.88,2.198213136
236,1/14/2018 23:45,14.134,164.94,2.199013068
237,1/15/2018 0:00,14.134,164.86,2.197946492
238,1/15/2018 0:15,14.134,164.82,2.197413204
239,1/15/2018 0:30,14.134,164.8,2.19714656
240,1/15/2018 0:45,14.134,164.74,2.196346628
241,1/15/2018 1:00,14.134,164.92,2.198746424
242,1/15/2018 1:15,14.134,164.9,2.19847978
243,1/15/2018 1:30,14.134,164.97,2.199413034
244,1/15/2018 1:45,14.134,164.87,2.198079814
245,1/15/2018 2:00,14.23,164.97,2.199413034
246,1/15/2018 2:15,14.23,164.97,2.199413034
247,1/15/2018 2:30,14.23,164.84,2.197679848
248,1/15/2018 2:45,14.23,165.03,2.200212966
249,1/15/2018 3:00,14.23,165.09,2.201012898
250,1/15/2018 3:15,14.134,164.87,2.198079814
251,1/15/2018 3:30,14.134,164.99,2.199679678
252,1/15/2018 3:45,14.134,164.93,2.198879746
253,1/15/2018 4:00,14.134,164.99,2.199679678
254,1/15/2018 4:15,14.134,164.99,2.199679678
255,1/15/2018 4:30,14.134,165,2.199813
256,1/15/2018 4:45,14.134,164.94,2.199013068
257,1/15/2018 5:00,14.134,165,2.199813
258,1/15/2018 5:15,14.134,165,2.199813
259,1/15/2018 5:30,14.23,164.98,2.199546356
260,1/15/2018 5:45,14.23,165.12,2.201412864
261,1/15/2018 6:00,14.23,165.06,2.200612932
262,1/15/2018 6:15,14.23,165.18,2.202212796
263,1/15/2018 6:30,14.134,165.05,2.20047961
264,1/15/2018 6:45,14.134,164.8,2.19714656
265,1/15/2018 7:00,14.134,164.86,2.197946492
266,1/15/2018 7:15,14.134,164.92,2.198746424
267,1/15/2018 7:30,14.134,164.93,2.198879746
268,1/15/2018 7:45,14.23,164.95,2.19914639
269,1/15/2018 8:00,14.134,164.71,2.195946662
270,1/15/2018 8:15,14.134,164.59,2.194346798
271,1/15/2018 8:30,14.134,164.66,2.195280052
272,1/15/2018 8:45,14.134,164.54,2.193680188
273,1/15/2018 9:00,14.134,164.53,2.193546866
274,1/15/2018 9:15,14.23,164.6,2.19448012
275,1/15/2018 9:30,14.23,164.17,2.188747274
276,1/15/2018 9:45,14.23,164.35,2.19114707
277,1/15/2018 10:00,14.23,164.35,2.19114707
278,1/15/2018 10:15,14.23,164.23,2.189547206
279,1/15/2018 10:30,14.23,164.18,2.188880596
280,1/15/2018 10:45,14.134,164.25,2.18981385
281,1/15/2018 11:00,14.134,164.26,2.189947172
282,1/15/2018 11:15,14.134,164.24,2.189680528
283,1/15/2018 11:30,14.134,164.23,2.189547206
284,1/15/2018 11:45,14.134,164.24,2.189680528
285,1/15/2018 12:00,14.23,164.17,2.188747274
286,1/15/2018 12:15,14.23,163.99,2.186347478
287,1/15/2018 12:30,14.23,164.16,2.188613952
288,1/15/2018 12:45,14.23,164.14,2.188347308
289,1/15/2018 13:00,14.23,164.03,2.186880766
290,1/15/2018 13:15,14.23,164.03,2.186880766
291,1/15/2018 13:30,14.23,163.92,2.185414224
292,1/15/2018 13:45,14.23,164,2.1864808
293,1/15/2018 14:00,14.134,163.97,2.186080834
294,1/15/2018 14:15,14.134,164.15,2.18848063
295,1/15/2018 14:30,14.134,164.21,2.189280562
296,1/15/2018 14:45,14.23,164.01,2.186614122
297,1/15/2018 15:00,14.134,164,2.1864808
298,1/15/2018 15:15,14.134,164.11,2.187947342
299,1/15/2018 15:30,14.23,163.95,2.18581419
300,1/15/2018 15:45,14.23,164.19,2.189013918
301,1/15/2018 16:00,14.23,164.03,2.186880766
302,1/15/2018 16:15,14.23,164.14,2.188347308
303,1/15/2018 16:30,14.23,164.26,2.189947172
304,1/15/2018 16:45,14.23,164.19,2.189013918
305,1/15/2018 17:00,14.23,164.25,2.18981385
306,1/15/2018 17:15,14.23,164.33,2.190880426
307,1/15/2018 17:30,14.23,164.26,2.189947172
308,1/15/2018 17:45,14.23,164.25,2.18981385
309,1/15/2018 18:00,14.23,164.12,2.188080664
310,1/15/2018 18:15,14.23,164.06,2.187280732
311,1/15/2018 18:30,14.23,164.37,2.191413714
312,1/15/2018 18:45,14.23,164.17,2.188747274
313,1/15/2018 19:00,14.134,164.27,2.190080494
314,1/15/2018 19:15,14.134,164.22,2.189413884
315,1/15/2018 19:30,14.134,164.26,2.189947172
316,1/15/2018 19:45,14.23,164.15,2.18848063
317,1/15/2018 20:00,14.23,164.15,2.18848063
318,1/15/2018 20:15,14.134,164.18,2.188880596
319,1/15/2018 20:30,14.23,164.2,2.18914724
320,1/15/2018 20:45,14.325,164.15,2.18848063
321,1/15/2018 21:00,14.325,164.21,2.189280562
322,1/15/2018 21:15,14.134,164.32,2.190747104
323,1/15/2018 21:30,14.134,164.19,2.189013918
324,1/15/2018 21:45,14.134,164.29,2.190347138
325,1/15/2018 22:00,14.23,164.38,2.191547036
326,1/15/2018 22:15,14.325,164.35,2.19114707
327,1/15/2018 22:30,14.23,164.33,2.190880426
328,1/15/2018 22:45,14.23,164.39,2.191680358
329,1/15/2018 23:00,14.134,164.42,2.192080324
330,1/15/2018 23:15,14.23,164.33,2.190880426
331,1/15/2018 23:30,14.23,164.45,2.19248029
332,1/15/2018 23:45,14.23,164.39,2.191680358
333,1/16/2018 0:00,14.23,164.39,2.191680358
334,1/16/2018 0:15,14.23,164.51,2.193280222
335,1/16/2018 0:30,14.23,164.51,2.193280222
336,1/16/2018 0:45,14.134,164.6,2.19448012
337,1/16/2018 1:00,14.134,164.42,2.192080324
338,1/16/2018 1:15,14.23,164.33,2.190880426
339,1/16/2018 1:30,14.23,164.39,2.191680358
340,1/16/2018 1:45,14.23,164.33,2.190880426
341,1/16/2018 2:00,14.23,164.51,2.193280222
342,1/16/2018 2:15,14.325,164.42,2.192080324
343,1/16/2018 2:30,14.23,164.5,2.1931469
344,1/16/2018 2:45,14.23,164.38,2.191547036
345,1/16/2018 3:00,14.23,164.56,2.193946832
346,1/16/2018 3:15,14.23,164.63,2.194880086
347,1/16/2018 3:30,14.23,164.69,2.195680018
348,1/16/2018 3:45,14.23,164.43,2.192213646
349,1/16/2018 4:00,14.23,164.44,2.192346968
350,1/16/2018 4:15,14.23,164.5,2.1931469
351,1/16/2018 4:30,14.23,164.55,2.19381351
352,1/16/2018 4:45,14.23,164.5,2.1931469
353,1/16/2018 5:00,14.23,164.44,2.192346968
354,1/16/2018 5:15,14.23,164.51,2.193280222
355,1/16/2018 5:30,14.23,164.26,2.189947172
356,1/16/2018 5:45,14.23,164.6,2.19448012
357,1/16/2018 6:00,14.23,164.48,2.192880256
358,1/16/2018 6:15,14.23,164.35,2.19114707
359,1/16/2018 6:30,14.23,164.47,2.192746934
360,1/16/2018 6:45,14.23,164.44,2.192346968
361,1/16/2018 7:00,14.23,164.33,2.190880426
362,1/16/2018 7:15,14.23,164.29,2.190347138
363,1/16/2018 7:30,14.23,164.31,2.190613782
364,1/16/2018 7:45,14.23,164.36,2.191280392
365,1/16/2018 8:00,14.325,164.27,2.190080494
366,1/16/2018 8:15,14.325,164.27,2.190080494
367,1/16/2018 8:30,14.23,164.26,2.189947172
368,1/16/2018 8:45,14.23,164.32,2.190747104
369,1/16/2018 9:00,14.134,164.23,2.189547206
370,1/16/2018 9:15,14.23,164.22,2.189413884
371,1/16/2018 9:30,14.23,164.18,2.188880596
372,1/16/2018 9:45,14.23,164.22,2.189413884
373,1/16/2018 10:00,14.23,164.3,2.19048046
374,1/16/2018 10:15,14.23,164.24,2.189680528
375,1/16/2018 10:30,14.23,164.19,2.189013918
376,1/16/2018 10:45,14.23,164.08,2.187547376
377,1/16/2018 11:00,14.325,164.01,2.186614122
378,1/16/2018 11:15,14.325,164.19,2.189013918
379,1/16/2018 11:30,14.23,163.9,2.18514758
380,1/16/2018 11:45,14.134,164.21,2.189280562
381,1/16/2018 12:00,14.134,163.99,2.186347478
382,1/16/2018 12:15,14.23,164.03,2.186880766
383,1/16/2018 12:30,14.23,164.09,2.187680698
384,1/16/2018 12:45,14.23,164.08,2.187547376
385,1/16/2018 13:00,14.23,164.11,2.187947342
386,1/16/2018 13:15,14.23,164.08,2.187547376
387,1/16/2018 13:30,14.23,164.08,2.187547376
388,1/16/2018 13:45,14.23,164.11,2.187947342
389,1/16/2018 14:00,14.23,164.02,2.186747444
390,1/16/2018 14:15,14.23,164.25,2.18981385
391,1/16/2018 14:30,14.23,164.33,2.190880426
392,1/16/2018 14:45,14.23,164.25,2.18981385
393,1/16/2018 15:00,14.23,164.28,2.190213816
394,1/16/2018 15:15,14.23,164.22,2.189413884
395,1/16/2018 15:30,14.23,164.05,2.18714741
396,1/16/2018 15:45,14.325,164.22,2.189413884
397,1/16/2018 16:00,14.325,164.11,2.187947342
398,1/16/2018 16:15,14.23,164.1,2.18781402
